titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
00053/ISE/2024/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR ALMERIA	CONTR 2025 0000392141	Servicios	Publicada	43777.68	52533.22	2025-07-02	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831244	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00053/ISE/2024/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_308640.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
00052/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR ALMERIA	CONTR 2025 0000392138	Servicios	Publicada	15128.64	18154.37	2025-07-02	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831241	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00052/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_308647.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
SERVICIO DE LIMPIEZA EN D.P. CÓRDOBA, JAÉN Y GRANADA (3 LOTES)	CONTR 2025 0000323145	Servicios	Publicada	68627.55	137225.1	2025-06-25	Instituto Andaluz de la Juventud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829531	90919200-4 Servicios de limpieza de oficinas	Abierto simplificado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE LIMPIEZA EN D.P. CÓRDOBA, JAÉN Y GRANADA (3 LOTES)	and_pliego_prescripciones_303793.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	limpieza, personal, servicio, adjudicatario, empresa, diario, contrato, mantenimiento, periodicidad, papel (1.0)	No tecnológica		limpieza, desratizacion, desinfeccion, desinsectacion, mobiliario, inclusion_social
PYGRRNN_ACTUACIONES DE MEJORA DE EQUIPAMIENTOS EN ER PERDIZ LUGAR NUEVO	CONTR 2025 0000274206	Obras	Publicada	101469.61	101469.61	2025-06-25	Agencia de Medio Ambiente y Agua de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829642	45000000-7 Trabajos de construcción	Abierto simplificado	Electrónica	4 meses	NotFound	2100-12-31	NotFound	Ordinario	PYGRRNN_ACTUACIONES DE MEJORA DE EQUIPAMIENTOS EN LA ESTACIÓN DE REFERENCIA DE LA PERDIZ (JAÉN)	and_pliego_prescripciones_304013.pdf	Andalucía	2025-07-10	Jaen	Andalucia	trabajo, agencia, empresa, riesgo, prevencion, actividad, adjudicatario, seguridad, trabajador, salud (1.0)	No tecnológica		reparacion, seguro
PAS 11/2025-SEVILLA-CONTR 2025 0000341481-SERVICIO DE REDACCIÓN DE PROYECTO BÁSICO Y DE EJECUCIÓN, COORD. DE SEGURIDAD Y SALUD DURANTE LA ELABORACIÓN DEL PROYECTO, DIRECCIÓN DE OBRA, DIRECCIÓN DE EJECUCIÓN DE OBRA Y COORD. DE SEGURIDAD Y SALUD DURANTE LA EJECUCIÓN DE LAS OBRAS DE REFORMA PARA IMPLANTACIÓN DEL HELIPUERTO DEL H. U. VIRGEN DEL ROCÍO, ADSCRITO A LA CPC SEVILLA, PERTENECIENTE AL SAS, MEDIANTE PROCEDIMIENTO ABIERTO SIMPLIFICADO Y PRESENT. ELECTRÓNICA DE OFERTAS. (SIGLO 0000208/2025)	CONTR 2025 0000341481	Servicios	Publicada	128889.98	128889.98	2025-08-01	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833048	71221000-3 Servicios de arquitectura para edificios	Abierto simplificado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	PAS 11/2025-SEVILLA-CONTR 2025 0000341481-SERVICIO DE REDACCIÓN DE PROYECTO BÁSICO Y DE EJECUCIÓN, COORD. DE SEGURIDAD Y SALUD DURANTE LA ELABORACIÓN DEL PROYECTO, DIRECCIÓN DE OBRA, DIRECCIÓN DE EJECUCIÓN DE OBRA Y COORD. DE SEGURIDAD Y SALUD DURANTE LA EJECUCIÓN DE LAS OBRAS DE REFORMA PARA IMPLANTACIÓN DEL HELIPUERTO DEL H. U. VIRGEN DEL ROCÍO, ADSCRITO A LA CPC SEVILLA, PERTENECIENTE AL SAS, MEDIANTE PROCEDIMIENTO ABIERTO SIMPLIFICADO Y PRESENT. ELECTRÓNICA DE OFERTAS. (SIGLO 0000208/2025)	and_pliego_prescripciones_313469.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	Sin tema	No tecnológica		obras
Prestación de atención a emergencias sanitarias	CONTR 2025 0000228010	Servicios	Publicada	162142.04	286450.94	2025-06-25	Consorcio Parque de las Ciencias en Granada	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829961	80561000-4 Servicios de formación en materia de salud85100000-0 Servicios de salud85140000-2 Servicios varios de salud	Abierto	Electrónica	36 meses	NotFound	2100-12-31	NotFound	Ordinario	Contrato para la prestación de atención a emergencias sanitarias de cobertura a los visitantes y trabajadores del Museo en el Parque de las Ciencias	and_pliego_prescripciones_304958.pdf	Andalucía	2025-07-10	Granada	Andalucia	servicio, granada, parque, consorcio, materia, ciencias, personal, cpc, contrato, desarrollar (1.0)	No tecnológica		infraestructura, mobiliario, vestuario
76/ISE/2025/GR SERVICIO TRANSPORTE ESCOLAR.RUTAS HUESCAR-DEHESAS V-SORVILAN	CONTR 2025 0000462114	Servicios	Publicada	47572.28	47572.28	2025-07-21	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833077	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	76/ISE/2025/GR SERVICIO DE TRANSPORTE ESCOLAR CON VEHÍCULOS DE HASTA 9 PLAZAS EN LOS CENTROS DOCENTES PÚBLICOS DEPENDIENTES DE LA CONSEJERÍA DE  DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA (CON ORIGEN DE FINANCIACIÓN EN FONDOS EU	and_pliego_prescripciones_313560.pdf	Andalucía	2025-07-10	Granada	Andalucia	transporte, vehiculo, servicio, escolar, contrato, centro, trayecto, adjudicatario, educacion, decreto (1.0)	No tecnológica		reparacion, limpieza, desinfeccion, transporte_escolar, vehiculos, seguro, poliza
74/ISE/2025/GR SERVICIO TRANSPORTE ESCOLAR. RUTAS MOTRIL-ZAGRA	CONTR 2025 0000462097	Servicios	Publicada	44492.88	44492.88	2025-07-21	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833074	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	74/ISE/2025/GR SERVICIO DE TRANSPORTE ESCOLAR CON VEHÍCULOS DE HASTA 9 PLAZAS EN LOS CENTROS DOCENTES PÚBLICOS DEPENDIENTES DE LA CONSEJERÍA DE  DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA (CON ORIGEN DE FINANCIACIÓN EN FONDOS EU	and_pliego_prescripciones_313553.pdf	Andalucía	2025-07-10	Granada	Andalucia	transporte, vehiculo, servicio, escolar, contrato, centro, trayecto, adjudicatario, educacion, decreto (1.0)	No tecnológica		reparacion, limpieza, desinfeccion, transporte_escolar, vehiculos, seguro, poliza
71/ISE/2025/GR SERVICIO TRANSPORTE ESCOLAR. RUTAS UGIJAR - MURTAS	CONTR 2025 0000462087	Servicios	Publicada	44492.88	44492.88	2025-07-21	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833073	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	71/ISE/2025/GR SERVICIO DE TRANSPORTE ESCOLAR CON VEHÍCULOS DE HASTA 9 PLAZAS EN LOS CENTROS DOCENTES PÚBLICOS DEPENDIENTES DE LA CONSEJERÍA DE  DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA (CON ORIGEN DE FINANCIACIÓN EN FONDOS EU	and_pliego_prescripciones_313545.pdf	Andalucía	2025-07-10	Granada	Andalucia	transporte, vehiculo, servicio, escolar, contrato, centro, trayecto, adjudicatario, educacion, decreto (1.0)	No tecnológica		reparacion, limpieza, desinfeccion, transporte_escolar, vehiculos, seguro, poliza
0000339/2025 +6.CHISX7N SUMINISTRO DE VUTRISIRÁN CON DESTINO A LOS CENTROS VINCULADOS A LA CENTRAL PROVINCIAL DE COMPRAS DE GRANADA, MEDIANTE PRODECIMIENTO ABIERTO Y PRESENTACIÓN ELECTRÓNICA DE OFERTAS (ASU019-2025)	CONTR 2025 0000327872	Suministros	Publicada	88897.0	471154.1	2025-07-28	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832879	33600000-6 Productos farmacéuticos	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Urgencia	SUMINISTRO DE VUTRISIRÁN CON DESTINO A LOS CENTROS VINCULADOS A LA CENTRAL PROVINCIAL DE COMPRAS DE GRANADA, MEDIANTE PRODECIMIENTO ABIERTO Y PRESENTACIÓN ELECTRÓNICA DE OFERTAS (ASU019-2025)	and_pliego_prescripciones_313056.pdf	Andalucía	2025-07-10	Granada	Andalucia	Sin tema	N/S		
RENTING SERVICIOS CENTRALES Y ESPACIOS NATURALES PROTEGIDOS (2 LOTES)	CONTR 2025 0000350522	Suministros	Publicada	657600.0	657600.0	2025-07-02	Consejería de Sostenibilidad y Medio Ambiente. Secretaría General Técnica	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831117	34113000-2 Vehículos con tracción a las cuatro ruedas34113200-4 Vehículos todoterreno	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SUMINISTRO DE VEHÍCULOS EN RÉGIMEN DE ALQUILER SIN OPCIÓN A COMPRA (RENTING) PARA LOS SERVICIOS CENTRALES DE LA CONSEJERÍA DE SOSTENIBILIDAD Y  MEDIO AMBIENTE Y LOS ESPACIOS NATURALES PROTEGIDOS DE DOÑANA, SIERRA NEVADA Y SIERRA DE LAS NIEVES	and_pliego_prescripciones_308268.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	vehiculo, lote, consejerio, suministro, sierra, contrato, enp, empresa, verificacion, nieves (1.0)	No tecnológica		reparacion, seguro
SERVICIO DE ACOMPAÑANTES DE TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBL	CONTR 2025 0000350998	Servicios	Publicada	36619782.16	80563520.74	2025-07-29	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832536	80410000-1 Servicios escolares diversos85312110-3 Servicios de cuidado diurno para niños	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE ACOMPAÑANTES DE TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL	and_pliego_prescripciones_312179.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	servicio, transporte, empresa, centro, personal, educativo, escolar, agencia, adjudicatario, educacion (1.0)	No tecnológica		transporte_escolar, seguro
MEJORA EFIC, OPTIMIZ. Y REDUCC.PÉRDIDAS INFR.CANAL GRANADO	CONTR 2024 0001040029	Obras	Publicada	6670083.91	6670083.91	2025-06-25	Consejería de Agricultura, Pesca, Agua y Desarrollo Rural. D.G. de Infraestructuras del Agua.	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=816305	45232151-5 Trabajos de construcción de reacondicionamiento de canalizaciones de agua	Abierto	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	MEJORA DE LA EFICIENCIA, OPTIMIZACIÓN Y REDUCCIÓN DE PÉRDIDAS EN LAS INFRAESTRUCTURAS DEL CANAL DEL GRANADO	and_pliego_prescripciones_300159.pdf	Andalucía	2025-07-10	Huelva	Andalucia	infraestructura, diligenciar, expediente, proyecto, agua, contrato, incluido, eficiencia, enlace, pesco (1.0)	No tecnológica		infraestructura
CCA +6.IP6T5A6 SUMINISTRO DE MATERIAL DESINFECTANTE, DETERGENTES SANITARIOS, SOLUCIONES PARA HIGIENE DE MANOS  Y OTROS LÍQUIDOS CON DISPONIBILIDAD DE USO DE SOPORTES PARA DISPENSADORES, CON DESTINO A CENTROS DE LA PROVINCIA DE CÁDIZ, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD SIGLO 0000058/2025	CONTR 2025 0000286263	Suministros	Publicada	1404472.68	4213418.04	2025-07-09	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=821623	24300000-7 Productos químicos inorgánicos y orgánicos básicos24315300-8 Peróxido de hidrógeno24323220-2 Ácido peracético24455000-8 Desinfectantes39831200-8 Detergentes	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	CCA +6.IP6T5A6 SUMINISTRO DE MATERIAL DESINFECTANTE, DETERGENTES SANITARIOS, SOLUCIONES PARA HIGIENE DE MANOS  Y OTROS LÍQUIDOS CON DISPONIBILIDAD DE USO DE SOPORTES PARA DISPENSADORES, CON DESTINO A CENTROS DE LA PROVINCIA DE CÁDIZ, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD SIGLO 0000058/2025	and_pliego_prescripciones_301699.pdf	Andalucía	2025-07-10	Cadiz	Andalucia	unidad, unear, uneen, tiempo, ensayado, producto, microorganismo, sanitario, caracteristica, certificado (1.0)	No tecnológica		limpieza, desinfeccion
ACTIV. PREVENTIVA CONTROL MOV. TIERRAS SINGILIA BARBA	CONTR 2025 0000114362	Servicios	Publicada	30360.9	30360.9	2025-07-25	Delegación Territorial de Turismo, Cultura y Deporte en Málaga	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=833057	71351914-3 Servicios arqueológicos	Abierto simplificado	Electrónica	11 meses	NotFound	2100-12-31	NotFound	Urgencia	ACTIV. PREVENTIVA CONTROL MOV. TIERRAS SINGILIA BARBA	and_pliego_prescripciones_313486.pdf	Andalucía	2025-07-10	Malaga	Andalucia	actividad, arqueologico, direccion, contrato, trabajo, responsable, obra, delegacion, articulo, raa (1.0)	No tecnológica		obras, seguro, poliza
